"","carat","cut","color","clarity","depth","table","price","x","y","z"
"19149",1.26,"Very Good","G","SI1",63.3,58,7910,6.88,6.84,4.34
"14523",1,"Good","F","VS2",64,59,5864,6.29,6.25,4.03
"16490",1.2,"Premium","H","SI1",59.5,58,6588,7.02,6.97,4.16
"12966",1.19,"Very Good","J","SI1",60,57,5390,6.93,6.89,4.15
"52348",0.55,"Ideal","E","VVS2",61.4,56,2499,5.28,5.31,3.25
"16934",1,"Very Good","D","VS2",62.6,58,6762,6.31,6.38,3.97
"27173",2,"Premium","I","VS1",61.1,58,17436,8.11,8.08,4.95
"52019",0.71,"Ideal","F","SI2",65.3,53,2445,5.64,5.58,3.67
"41551",0.4,"Very Good","F","VVS1",58.9,59,1236,4.81,4.84,2.84
"33099",0.4,"Ideal","H","VS1",61.1,57,815,4.74,4.78,2.91
"2369",0.9,"Good","I","SI1",63.5,59,3176,6.05,6.1,3.86
"18583",1.52,"Ideal","I","SI2",61.3,60,7582,7.33,7.39,4.51
"3492",0.81,"Ideal","G","VS2",60.8,60,3398,5.98,6,3.64
"37220",0.52,"Fair","F","SI2",56.3,59,975,5.41,5.35,3.03
"49922",0.73,"Ideal","J","SI1",62,55,2184,5.75,5.86,3.6
"47951",0.5,"Good","E","VVS2",64.8,58,1917,4.97,5,3.23
"53594",0.7,"Good","G","VS2",62.6,61,2699,5.57,5.61,3.5
"4205",1.04,"Premium","G","SI2",62.8,59,3564,6.47,6.42,4.05
"51031",0.71,"Ideal","E","SI1",61.5,57,2329,5.78,5.74,3.54
"3372",0.32,"Ideal","G","SI2",61.3,56,407,4.44,4.47,2.73
"12704",0.26,"Ideal","E","VVS1",62,56,599,4.09,4.13,2.55
"7988",0.92,"Good","F","SI1",64,56,4326,6.12,6.17,3.93
"20643",1.05,"Ideal","G","VVS1",61.2,57,8931,6.54,6.57,4.01
"26189",2,"Fair","E","SI2",59.9,61,15540,8.16,8.04,4.86
"28414",0.29,"Ideal","F","VVS1",60.9,57,669,4.29,4.32,2.62
"35179",0.31,"Ideal","G","IF",61.8,54,891,4.36,4.38,2.7
"17928",1.53,"Ideal","G","SI2",61.7,57,7240,7.44,7.41,4.58
