"","carat","cut","color","clarity","depth","table","price","x","y","z"
"24321",1.5,"Ideal","G","VS1",61,57,12576,7.32,7.4,4.49
"33244",0.31,"Ideal","G","VS1",61,56,824,4.4,4.35,2.67
"10504",1.02,"Ideal","E","SI2",62.1,55,4798,6.51,6.4,4.01
"38457",0.36,"Ideal","G","IF",62.2,53,1029,4.59,4.61,2.86
"9970",1.14,"Good","I","SI1",63.5,56,4702,6.58,6.62,4.19
"38135",0.3,"Ideal","G","VVS1",62.2,57,1013,4.31,4.27,2.67
"19592",1,"Ideal","G","VVS1",61.9,57,8217,6.39,6.43,3.97
"18475",1.05,"Very Good","E","VS1",61.6,58,7521,6.53,6.56,4.03
"34472",0.38,"Very Good","E","VS2",59.2,60,866,4.73,4.77,2.81
"23732",1.36,"Very Good","G","VVS2",60.8,60,11774,7.12,7.16,4.34
"33573",0.38,"Very Good","D","SI1",62.2,53.8,831,4.65,4.69,2.9
"50495",0.7,"Premium","F","SI1",61.8,59,2268,5.76,5.67,3.53
"27995",0.3,"Premium","E","VS2",61.8,58,658,4.31,4.36,2.68
"27841",0.31,"Good","E","VS2",59.1,56,651,4.41,4.46,2.62
"40641",0.41,"Ideal","E","VS1",62.7,57,1153,4.76,4.72,2.97
"15525",1.01,"Very Good","E","VS2",63,60,6221,6.32,6.35,3.99
"52253",0.71,"Ideal","F","SI1",60.8,57,2487,5.75,5.8,3.51
"4791",1,"Good","E","SI1",57.6,65,3696,6.47,6.44,3.72
"3659",0.53,"Ideal","D","VVS1",62.1,57,3442,5.15,5.18,3.21
"45138",0.53,"Ideal","I","IF",62.1,55,1654,5.18,5.22,3.23
"27826",0.34,"Premium","D","SI2",60.8,60,650,4.53,4.49,2.74
"3016",0.53,"Very Good","D","VVS1",61.2,55,3307,5.21,5.26,3.21
"19689",0.3,"Ideal","G","VS1",63.1,55,624,4.25,4.31,2.7
"52897",0.73,"Ideal","G","SI2",61.8,56,2585,5.76,5.83,3.58
"23315",2,"Premium","G","SI2",61.7,60,11355,7.95,7.9,4.89
"15942",2.03,"Premium","G","I1",61.1,58,6377,8.11,8.06,4.94
"47711",0.57,"Ideal","E","VS1",60.5,57,1884,5.33,5.38,3.24
"46457",0.54,"Ideal","H","VVS1",61.9,54,1774,5.22,5.25,3.24
"16968",1,"Very Good","D","VS2",63.5,57,6776,6.37,6.32,4.03
"16514",1,"Ideal","E","VS2",61.6,57,6600,6.38,6.44,3.95
"52654",0.72,"Ideal","G","SI1",61.4,54,2548,5.79,5.81,3.56
"1167",0.81,"Premium","F","SI1",61.3,60,2926,6,5.94,3.66
"44761",0.52,"Very Good","E","VS2",62.8,55,1621,5.11,5.15,3.22
"847",0.62,"Ideal","G","IF",61.8,56,2869,5.43,5.47,3.37
"41317",0.5,"Very Good","F","SI1",61.6,60,1214,5.07,5.1,3.13
"22082",1.22,"Ideal","F","VS1",62.3,57,10100,6.83,6.79,4.24
"24685",2.11,"Premium","J","VS2",59.9,60,13046,8.36,8.41,5.02
"48888",0.7,"Very Good","I","SI1",62.5,60,2039,5.64,5.68,3.54
"48092",0.98,"Fair","G","I1",58.7,57,1932,6.54,6.43,3.8
"5110",0.72,"Ideal","F","VS1",61.4,56,3759,5.75,5.79,3.54
"29993",0.43,"Ideal","D","SI2",62.6,56,716,4.84,4.88,3.04
"16306",1.13,"Ideal","G","VS2",62.7,57,6525,6.65,6.68,4.18
"36681",0.41,"Very Good","F","VS2",59.4,60,951,4.85,4.89,2.89
"7299",1.11,"Very Good","I","SI2",61.1,58,4202,6.63,6.69,4.07
"5847",1,"Good","I","SI1",62.9,64,3920,6.27,6.23,3.93
"28613",0.3,"Very Good","E","SI1",63.2,57,675,4.3,4.25,2.7
"46276",0.53,"Ideal","G","VS1",61.2,55,1754,5.23,5.26,3.21
"53443",0.92,"Very Good","D","I1",63,58,2674,6.13,6.18,3.88
"53853",0.83,"Ideal","J","VS2",62.3,55,2742,6.01,6.03,3.75
"17606",1.33,"Premium","I","VS1",61.5,58,7090,7.06,7.02,4.33
"30634",0.41,"Very Good","G","SI1",60.4,58,735,4.77,4.84,2.9
"13943",1.3,"Premium","H","SI1",62.9,60,5671,6.95,6.88,4.35
"639",0.73,"Premium","G","VS1",61.4,58,2841,5.82,5.77,3.56
"19952",1.53,"Premium","H","SI2",62.5,59,8499,7.4,7.36,4.61
"48758",0.56,"Ideal","F","VS1",61.7,54,2016,5.32,5.28,3.27
"15405",1.02,"Premium","G","VS2",62.1,59,6169,6.47,6.41,4
